id,geometry_name,id_expl,id_planeamento,desig_comercial,tipo_servico_niveis,num_bicicletas,num_docas,racio,estado,update_date,bbox,longitude,latitude
emel_gira_stations.232,geom,432,432,432 - Praça de Londres,B,5,10,0.5,active,2025-02-14T18:10:52Z,"[-9.1377, 38.7407, -9.1377, 38.7407]",-9.1377,38.7407
emel_gira_stations.41,geom,518,518,518 - Avenida das Nações Unidas / Azinhaga da Torre do Fato,A,0,20,0.0,active,2025-02-14T18:11:12Z,"[-9.177955, 38.764097, -9.177955, 38.764097]",-9.177955,38.764097
emel_gira_stations.236,geom,462,462,462 - Campo Grande / Biblioteca Nacional,B,4,29,0.14,active,2025-02-14T18:10:53Z,"[-9.15031, 38.75027, -9.15031, 38.75027]",-9.15031,38.75027
emel_gira_stations.44,geom,238,238,238 - Rua de Cascais / Alcântara Mar,A,10,23,0.43,active,2025-02-14T18:11:13Z,"[-9.175234, 38.702936, -9.175234, 38.702936]",-9.175234,38.702936
emel_gira_stations.46,geom,364,364,364 -Rua D.francisco M. de melo / Rua artilharia 1,A,3,14,0.21,active,2025-02-14T18:11:13Z,"[-9.159369, 38.728263, -9.159369, 38.728263]",-9.159369,38.728263
emel_gira_stations.237,geom,483,483,483 - Rua Professor Francisco Lucas Pires ,B,5,15,0.33,active,2025-02-14T18:10:53Z,"[-9.16405, 38.75939, -9.16405, 38.75939]",-9.16405,38.75939
emel_gira_stations.47,geom,363,363,363 - Rua de campolide / Rua marques da fronteira,A,6,14,0.43,active,2025-02-14T18:11:14Z,"[-9.162216, 38.727094, -9.162216, 38.727094]",-9.162216,38.727094
emel_gira_stations.239,geom,214,214,214 - Largo de Santos,A,18,24,0.75,active,2025-02-14T18:10:54Z,"[-9.15424, 38.70673, -9.15424, 38.70673]",-9.15424,38.70673
emel_gira_stations.49,geom,519,519,519 - Rua Prof. Pulido Valente / Rua Prof. Mário ,A,6,25,0.24,active,2025-02-14T18:11:14Z,"[-9.1691, 38.763204, -9.1691, 38.763204]",-9.1691,38.763204
emel_gira_stations.240,geom,208,208,208 - Cais das Pombas,A,18,22,0.82,repair,2025-02-14T18:11:34Z,"[-9.14373, 38.70523, -9.14373, 38.70523]",-9.14373,38.70523
emel_gira_stations.50,geom,352,352,352 - Rua Tomás da Anunciação / Rua Almeida e S.,A,9,17,0.53,active,2025-02-14T18:11:14Z,"[-9.165653, 38.717313, -9.165653, 38.717313]",-9.165653,38.717313
emel_gira_stations.243,geom,410,410,410 - Rua da Mesquita / Universidade Nova de Lisboa,B,3,40,0.08,active,2025-02-14T18:10:54Z,"[-9.16015, 38.73492, -9.16015, 38.73492]",-9.16015,38.73492
emel_gira_stations.56,geom,509,509,509 - Centro Comercial Fonte Nova,A,5,17,0.29,active,2025-02-14T18:11:16Z,"[-9.190007, 38.748901, -9.190007, 38.748901]",-9.190007,38.748901
emel_gira_stations.245,geom,113,113,113 - Alameda dos Oceanos/ Passeio do Levante,B,5,14,0.36,active,2025-02-14T18:10:54Z,"[-9.09825, 38.78414, -9.09825, 38.78414]",-9.09825,38.78414
emel_gira_stations.59,geom,521,521,521 - Rua César de Oliveira / Rua Fernando Lopes Graça,A,4,22,0.18,active,2025-02-14T18:11:16Z,"[-9.17386, 38.769044, -9.17386, 38.769044]",-9.17386,38.769044
emel_gira_stations.247,geom,112,112,112 - Alameda dos Oceanos / Passeio das Garças,B,11,14,0.79,active,2025-02-14T18:10:55Z,"[-9.09622, 38.78069, -9.09622, 38.78069]",-9.09622,38.78069
emel_gira_stations.64,geom,506,506,506 - Rua Tenente Coronel Reibeiro dos Reis/Rua Conde de Almoster,A,9,17,0.53,active,2025-02-14T18:11:20Z,"[-9.190028, 38.745181, -9.190028, 38.745181]",-9.190028,38.745181
emel_gira_stations.248,geom,456,456,456 - Entrecampos / Av. das Forças Armadas,A,8,41,0.2,active,2025-02-14T18:10:55Z,"[-9.14872, 38.74877, -9.14872, 38.74877]",-9.14872,38.74877
emel_gira_stations.66,geom,516,516,516 - Rua Professor Carlos Teixeira / Rua Professor Simões Raposo,A,3,16,0.19,active,2025-02-14T18:11:21Z,"[-9.174872, 38.76217, -9.174872, 38.76217]",-9.174872,38.76217
